,PARENTNAME,PLANT_NAME,PHYS_CITY,UNIT_NAME,UNIT_ID,GECKO_UNIT_SLUG,GECKO_MORE,Inspection.slug,Unit.slug,slug,nominal,min_t,max_t,tubes_inspected,bins_collected,critical_tubes,critical_bins
1,AES Corporation,Petersburg Generating Station,Petersburg,Petersburg 03,1004697,unit-3-e43a85,,20221116-e95eb3,unit-3-e43a85,20221116-e95eb3,0.25,0.2157599925994873,0.3248000144958496,200.0,3048.0,0.0,0.0
2,AES Corporation,Petersburg Generating Station,Petersburg,Petersburg 03,1004697,unit-3-e43a85,,20221111-263c77,unit-3-e43a85,20221111-263c77,0.24,0.15428000688552856,0.3131999969482422,24.0,8719.0,0.0,0.0
3,AES Corporation,Petersburg Generating Station,Petersburg,Petersburg 03,1004697,unit-3-e43a85,,20221111-177f5b,unit-3-e43a85,20221111-177f5b,0.22,0.11484000086784363,0.3062399923801422,309.0,106229.0,0.0,0.0
4,AES Corporation,Petersburg Generating Station,Petersburg,Petersburg 03,1004697,unit-3-e43a85,,20221111-11f8b2,unit-3-e43a85,20221111-11f8b2,0.24,0.15196000039577484,0.29927998781204224,24.0,14354.0,0.0,0.0
5,AES Corporation,Petersburg Generating Station,Petersburg,Petersburg 03,1004697,unit-3-e43a85,,20221110-41ee8a,unit-3-e43a85,20221110-41ee8a,0.22,0.10787999629974365,0.2818799912929535,251.0,20906.0,0.0,0.0
6,AES Corporation,Petersburg Generating Station,Petersburg,Petersburg 04,1004698,unit-4-boiler-48c567,,20221002-2b4e2a,unit-4-boiler-48c567,20221002-2b4e2a,0.222,0.09976000338792801,0.28999999165534973,309.0,94567.0,0.0,0.0
7,AES Corporation,Petersburg Generating Station,Petersburg,Petersburg 04,1004698,unit-4-boiler-48c567,,20221002-01eb84,unit-4-boiler-48c567,20221002-01eb84,0.222,0.12296000123023987,0.29232001304626465,289.0,22849.0,0.0,0.0
8,AES Corporation,Warrior Run Cogen,Cumberland,Warrior Run 01 ST,1011702,boiler-1-18ec02,,20220509-349686,boiler-1-18ec02,20220509-349686,0.26,0.15428000688552856,0.3317599892616272,161.0,39564.0,0.0,0.0
9,AES Corporation,Warrior Run Cogen,Cumberland,Warrior Run 01 ST,1011702,boiler-1-18ec02,,20220509-44f516,boiler-1-18ec02,,,,,,,,
10,AES Corporation,Warrior Run Cogen,Cumberland,Warrior Run 01 ST,1011702,boiler-1-18ec02,,20220509-13e153,boiler-1-18ec02,20220509-13e153,0.18,0.06599999964237213,0.23600000143051147,16.0,5360.0,1.0,1.0
11,AES Corporation,Warrior Run Cogen,Cumberland,Warrior Run 01 ST,1011702,boiler-1-18ec02,,20220509-bb1267,boiler-1-18ec02,20220509-bb1267,0.195,0.08235999941825867,0.29811999201774597,11.0,6039.0,0.0,0.0
