Customer.name,Location.name,Location.city,Unit.name,Unit.slug,Component.slug,Inspection.slug,Component.wall_nominal_thickness,Component.wall_warning_thickness,Component.coating_nominal_thickness
Drax,Drax Power Station,"Drax, Selby",Unit 3,unit-3-67c2d7,waterwalls-2d58c6,20220727-969d7c,4.5,4,
Florida Crystals,Okeelanta Biomass Cogeneration,South South Bay,Boiler #1,boiler-1-f39cd5,right-wall-f0b264,20221226-302a69,0.2,0,0
Purdue University,Wade Utility Plant,West Lafayette,Unit 5,unit-5-49ecf3,waterwalls-320ab0,20221208-a5eb08,0.18,0.135,0.02
Purdue University,Wade Utility Plant,West Lafayette,Unit 5,unit-5-49ecf3,waterwalls-mi-2739a2,20221208-659a62,0.18,0.135,0.02
Uniper,Maasvlakte,Maasvlakte Rotterdam,Coal Boiler,coal-boiler-44f314,waterwalls-eeddf2,20221203-03eb4e,,,
AES,Petersburg,Petersburg,Boiler U3,unit-3-e43a85,bullnose-8c7706,20221116-e95eb3,0.25,0.1,
GS EPS,Dangjin,Korea,Unit #2,unit-2-72d1be,watewalls-1974de,20221113-f93cd0,8.128,4,
AES,Petersburg,Petersburg,Boiler U3,unit-3-e43a85,waterwalls-c88f18,20221111-177f5b,0.22,0.185,
Lower Colorado River Authority,Sim Gideon,Bastrop,Unit 2,unit-2-c747aa,slopes-86fa8d,20221110-47f94e,0.203,0.1,
Lower Colorado River Authority,Sim Gideon,Bastrop,Unit 2,unit-2-c747aa,waterwalls-ef0d15,20221110-b296dd,0.203,0.1,
AES,Petersburg,Petersburg,Boiler U3,unit-3-e43a85,lower-slopes-c0de19,20221110-41ee8a,0.22,0.168,
ALCOA,Alumar,Sao Luis,Unit 21,waterwalls-4964a2,side-walls-14461c,20221109-79b274,5.588,4.4704,0
ALCOA,Alumar,Sao Luis,Unit 21,waterwalls-4964a2,sh-s2-wingwall-46e98f,20221109-55fcce,5.08,3.06,0
ALCOA,Alumar,Sao Luis,Unit 21,waterwalls-4964a2,evaporator-wing-walls-9e7a7d,20221109-6a2b38,5.56,3.5,0
JEA,Northside Generating Station,Jacksonville,CFB Boiler NO2,cfb-boiler-no2-95a7d1,waterwalls-94ad97,20221109-ac1b7a,0.187,0.18,
JEA,Northside Generating Station,Jacksonville,CFB Boiler NO2,cfb-boiler-no2-95a7d1,division-walls-1aa8a7,20221109-ca64a2,0.335,0.25,
Koch Industries (Corporate),Georgia-Pacific - Gurdon Softwood Plywood Mill,Gurdon,Unit 2,power-boiler-1-c2d297,front-wall-5924f6,20221107-0f7ed1,0.12,0,0
Koch Industries (Corporate),Georgia-Pacific - Gurdon Softwood Plywood Mill,Gurdon,Unit 1,power-boiler-1-f9dd37,waterwalls-3a67e4,20221107-f3c8cf,,,
Uniper,Maasvlakte,Maasvlakte Rotterdam,Coal Boiler,coal-boiler-44f314,waterwalls-eeddf2,20221103-8a719e,,,
Uniper,Maasvlakte,Maasvlakte Rotterdam,Gas Boiler Demo,boiler-demo-390391,waterwalls-0103c9,20221025-3b5cbf,,3.8,
Uniper,Maasvlakte,Maasvlakte Rotterdam,Gas Boiler Demo,boiler-demo-390391,roof-6463ac,20221025-224bd3,,,
