,slug,nominal,min_t,max_t,tubes_inspected,bins_collected,critical_tubes,critical_bins
0,20220727-969d7c,4.5,0.699999988079071,9.399999618530273,159,1590,2,2
1,20221226-302a69,0.2,0.0939600020647049,0.2598400115966797,101,5088,49,124
2,20221208-a5eb08,0.18,0.05916000157594681,0.22387999296188354,81,16344,54,165
3,20221208-659a62,0.18,0.09999999403953552,51.89999771118164,83,5792,67,318
4,20221203-03eb4e,0.25,3.0053279399871826,5.774943828582764,125,3411,0,0
5,20221116-e95eb3,0.25,0.2157599925994873,0.3248000144958496,200,3048,0,0
6,20221113-f93cd0,8.128,4.949951648712158,12.669520378112793,144,27367,2,2
7,20221111-177f5b,0.22,0.11484000086784363,0.3062399923801422,309,106229,34,126
8,20221110-47f94e,0.203,0.1972000002861023,0.24823999404907227,114,1060,0,0
9,20221110-b296dd,0.203,0.12759999930858612,0.2343199998140335,118,15998,2,3
10,20221110-41ee8a,0.22,0.10787999629974365,0.2818799912929535,251,20906,56,56
11,20221109-79b274,5.588,2.592832088470459,8.603487968444824,121,25484,20,71
12,20221109-55fcce,5.08,4.419600009918213,6.305295944213867,30,4237,0,0
13,20221109-6a2b38,5.56,4.242815971374512,7.041895866394043,24,7131,0,0
14,20221109-ac1b7a,0.187,0.16704000532627106,0.23083999752998352,771,61947,0,0
15,20221109-ca64a2,0.335,0.31784000992774963,0.3885999917984009,22,3864,0,0
16,20221107-0f7ed1,0.12,0.11947999894618988,0.19487999379634857,104,2040,0,0
17,20221107-f3c8cf,0.25,0.11135999858379364,0.17980000376701355,104,2114,104,2109
18,20221103-8a719e,0.25,2.9463999271392822,6.982967376708984,95,1332,0,0
19,20221025-3b5cbf,0.25,3.682999849319458,5.097271919250488,170,4417,0,0
20,20221021-14cfb5,0.25,3.506216049194336,6.599936008453369,172,2482,0,0
21,20221015-725992,0.25,3.4178240299224854,7.837424278259277,512,40450,0,0
22,20221015-6cf161,6.4,3.1231839656829834,5.097271919250488,28,15205,28,1559
23,20221015-9a976b,0.25,3.211575984954834,5.39191198348999,40,13924,0,0
24,20221015-003a94,6.6,4.095495700836182,9.281159400939941,555,45324,3,4
25,20221015-a314e7,6.6,4.9794158935546875,7.189215660095215,15,3464,0,0
26,20221015-45d712,6.6,6.010655879974365,7.071360111236572,159,2692,0,0
27,20221012-920e5f,5.6,1.5026639699935913,9.310624122619629,97,21047,56,600
28,20221011-28df23,0.21,0.10672000050544739,0.24823999404907227,578,45089,214,628
29,20221011-2b26a1,0.21,0.12992000579833984,0.22271999716758728,27,13282,7,25
30,20221011-18c8e9,0.26,0.05916000157594681,0.4071600139141083,187,7457,132,3537
