,PARENTNAME,OWNER_NAME,OPER_NAME,PLANT_NAME,PHYS_CITY,P_COUNTY,UNIT_STATE,P_ST_NAME,P_COUNTRY,MARKET_REG,WORLD_REG,IND_CODE_DESC,SIC_CODE,PLANT_ID,UNIT_NAME,UNIT_ID,UNIT_TYPE,OUT_DESIGN,KO_DATE,STARTUP,STARTYEAR,SHUTDOWN,PRIM_FUEL,SECND_FUEL,FUEL_GROUP,HEAT_RATE,PWR_USAGE,U_STATUS,BOIL_NAME,BOILERTYPE,BMFR_NAME,BOIL_INFO,STEAM,STEAM_UOM,STEAM_TON,PRESSURE,PRES_UOM,PRES_BAR,TEMP,TEMP_UOM,TEMP_CEL,DESIGNFIRM,CONSTFIRM,MMBTU_HR,KO_YEAR,LATITUDE,LONGITUDE,COGEN_CHP,SHUTDOWN_dt,SHUTDOWN_yr
8,Duke Energy Corporation,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Belews Creek Power Station,Belews Creek,Stokes,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1014219,Belews Creek 01,1004766,Steam Turbine,1245.6,1-Jan-70,1-Aug-74,1974,,Coal Bituminous,Natural Gas,Coal,9035.0,Intermediate Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired SCR LNB OFA ESP-CS FGC FGD-WS,7300000.0,lbs/hr,3650.0,3500.0,PSIG,241.0,1000.0,deg F,538.0,Duke Power Company,Duke Power Company,12000.0,1970.0,36.2811,-80.0603,0,,
9,Duke Energy Corporation,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Belews Creek Power Station,Belews Creek,Stokes,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1014219,Belews Creek 02,1004769,Steam Turbine,1245.6,,1-Dec-75,1975,,Coal Bituminous,Natural Gas,Coal,9035.0,Intermediate Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired Supercritical SCR LNB FGC ESP-CS FGD-WS,7300000.0,lbs/hr,3650.0,3500.0,PSIG,241.0,1000.0,deg F,538.0,Duke Power Company,Duke Power Company,12000.0,,36.2811,-80.0603,0,,
28,Duke Energy Corporation,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Rogers Energy Complex,Mooresboro,Cleveland,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011738,J E Rogers 06,1038463,Steam Turbine,909.5,25-Feb-08,30-Dec-12,2012,,Natural Gas,Coal Bituminous,Natural Gas,8361.0,Base Load,Operational,Boiler 06,Dry Bottom Boiler,Hitachi Power Systems America Ltd,PC Supercritical Opposed-Fired LNB OFA SCR FGD-WS BAG,5952000.0,lbs/hr,2976.0,3917.0,PSIG,270.0,1055.0,deg F,568.0,"Shaw Group, Inc.","Shaw Group, Inc.",7850.0,2008.0,35.217637,-81.763701,0,,
110,Duke Energy Corporation,Duke Energy Progress LLC,Duke Energy Progress LLC,Roxboro Power Station,Semora,Person,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011666,Roxboro 03,1004779,Steam Turbine,745.2,,1-Jul-73,1973,31-Dec-33,Coal Bituminous,,Coal,9727.0,Intermediate Load,Operational,Boiler 03B,Dry Bottom Boiler,Riley Stoker Corporation,PC Front-Fired LNB OFA SCR ESP-CS FGC FGD,2584000.0,lbs/hr,1292.0,2650.0,PSIG,183.0,1000.0,deg F,538.0,,,4261.0,,36.48097,-79.0715,0,2033-12-31,2033.0
111,Duke Energy Corporation,Duke Energy Progress LLC,Duke Energy Progress LLC,Roxboro Power Station,Semora,Person,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011666,Roxboro 04,1004781,Steam Turbine,745.2,,1-Sep-80,1980,31-Dec-33,Coal Bituminous,,Coal,9727.0,Intermediate Load,Operational,Boiler 04A,Dry Bottom Boiler,Riley Stoker Corporation,PC Opposed-Fired LNB OFA FGR SCR (4-ESP-HS) (FGD-WS-JBR-2007),2584000.0,lbs/hr,1292.0,2650.0,PSIG,183.0,1005.0,deg F,541.0,Brown & Root,Brown & Root,4099.0,,36.48097,-79.0715,0,2033-12-31,2033.0
112,Duke Energy Corporation,Duke Energy Progress LLC,Duke Energy Progress LLC,Roxboro Power Station,Semora,Person,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011666,Roxboro 04,1004781,Steam Turbine,745.2,,1-Sep-80,1980,31-Dec-33,Coal Bituminous,,Coal,9727.0,Intermediate Load,Operational,Boiler 04B,Dry Bottom Boiler,Riley Stoker Corporation,PC Opposed-Fired LNB OFA FGR SCR (4-ESP-HS) FGD,2584000.0,lbs/hr,1292.0,2650.0,PSIG,183.0,1005.0,deg F,541.0,,,4099.0,,36.48097,-79.0715,0,2033-12-31,2033.0
113,Duke Energy Corporation,Duke Energy Progress LLC,Duke Energy Progress LLC,Roxboro Power Station,Semora,Person,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011666,Roxboro 03,1004779,Steam Turbine,745.2,,1-Jul-73,1973,31-Dec-33,Coal Bituminous,,Coal,9727.0,Intermediate Load,Operational,Boiler 03A,Dry Bottom Boiler,Riley Stoker Corporation,PC Front-Fired LNB OFA SCR ESP-CS FGC (FGD-WS-JBR-2008),2584000.0,lbs/hr,1292.0,2650.0,PSIG,183.0,1000.0,deg F,538.0,Ebasco,Ebasco,4261.0,,36.48097,-79.0715,0,2033-12-31,2033.0
116,Duke Energy Corporation,Duke Energy Progress LLC,Duke Energy Progress LLC,Mayo Electric Generating Plant,Roxboro,Person,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011717,Mayo 01,1004513,Steam Turbine,735.8,,1-Mar-83,1983,,Coal Bituminous,,Coal,10149.0,Intermediate Load,Operational,Boiler 01B,Dry Bottom Boiler,Wood Foster Wheeler,"PC Opposed-Fired OFA LNB ESP-HS SCR BAG FGD-WS, Ovation",2750000.0,lbs/hr,1375.0,2900.0,PSIG,200.0,1005.0,deg F,541.0,,,4512.0,,36.5281,-78.8912,0,,
117,Duke Energy Corporation,Duke Energy Progress LLC,Duke Energy Progress LLC,Mayo Electric Generating Plant,Roxboro,Person,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011717,Mayo 01,1004513,Steam Turbine,735.8,,1-Mar-83,1983,,Coal Bituminous,,Coal,10149.0,Intermediate Load,Operational,Boiler 01A,Dry Bottom Boiler,Wood Foster Wheeler,"PC Opposed-Fired OFA LNB ESP-HS SCR BAG FGD-WS, Ovation",2750000.0,lbs/hr,1375.0,2900.0,PSIG,200.0,1005.0,deg F,541.0,,H.B. Zachry,4512.0,,36.5281,-78.8912,0,,
131,Duke Energy Corporation,Duke Energy Florida LLC,Duke Energy Florida LLC,Crystal River North,Crystal River,Citrus,FL,Florida,U.S.A.,Southeast,North America,Power,4911,1015226,Crystal River North 04,1005373,Steam Turbine,720.0,,1-Dec-82,1982,,Coal Bituminous,,Coal,9394.0,Base Load,Operational,Boiler 04,Dry Bottom Boiler,Babcock & Wilcox,6- MPS-89 Pulverizers Front-Fired (54 DRB-4Z-LNB) ESP-CS (SCR FGD-WS 201005),4750000.0,lbs/hr,2375.0,2600.0,PSIG,179.0,1000.0,deg F,538.0,Black & Veatch Pritchard,Fluor Daniel,,,28.967407,-82.695846,0,,
