,Customer.name,Location.name,Location.city,Unit.name,tubes_inspected,bins_collected,critical_tubes,critical_bins,tube_feet_inspected
1,Southern Co,Plant Bowen,Cartersville,Unit 2,1177,247387,927,16000,61846.75
2,Hallador Power Company,Merom Generating Station,Sullivan,Unit 1,872,40201,724,14612,10050.25
4,Hallador Power Company,Merom Generating Station,Sullivan,Unit 2,749,34548,511,11761,8637.0
5,Southern Co,Plant Bowen,Cartersville,Unit 1,2359,302848,907,11626,75712.0
6,NRG,Seward Power Station,New Florence,Boiler 1,422,57955,258,9586,14488.75
7,East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 2,1021,171524,717,9146,42881.0
11,AES,Alamitos,Long Beach,Unit 4,960,39446,361,5542,9861.5
12,AES,Alamitos,Long Beach,Unit 3,982,52907,386,5515,13226.75
13,Dominion,Mt. Storm,Mt. Storm,Unit 2,804,20416,616,4854,5104.0
14,NRG,Seward Power Station,New Florence,Boiler 2,551,47878,150,4780,11969.5
18,ALCOA,Alumar,Sao Luis,Unit 21,456,82364,166,3838,20591.0
23,AEP,Conesville,Conesville,Unit 5,255,16140,226,2146,4035.0
27,Southern Co,Plant Gaston,Wilsonville,Unit 5,1490,326331,442,1785,81582.75
28,AES,Petersburg,Petersburg,Boiler U4,906,201221,393,1639,50305.25
30,Southern Co,Plant Wansley,Carrollton,Unit 1,2167,218863,304,1558,54715.75
32,Southern Co,Plant Bowen,Cartersville,Unit 4,1610,361812,396,1490,90453.0
34,Southern Co,Plant Bowen,Cartersville,Unit 3,1537,192715,274,1442,48178.75
35,ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,791,46129,267,1335,11532.25
36,Duke Energy,Gibson Generating Station,Owensville,Unit 1,794,25817,164,1177,6454.25
37,Southern Co,Plant Barry,Bucks,Unit 5,495,90937,186,1035,22734.25
41,ALCOA,Warrick Power Station,Newburgh,Unit 4 Boiler,374,13963,97,962,3490.75
43,NRG,Limestone Electric Generating Station,Jewett,Unit 1,1272,168806,248,902,42201.5
44,Southern Co,Plant Wansley,Carrollton,Unit 2,1516,219281,292,838,54820.25
52,East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 1,267,40196,146,589,10049.0
54,Southern Co,Plant Yates,Newnan,Unit 7,925,88421,66,510,22105.25
55,AES,Warrior Run,Cumberland,Boiler 1,1610,97514,144,457,24378.5
57,AEP,AEP - Welsh Power Station,Pittsburg,Unit 3,201,37679,59,447,9419.75
61,AES,Harding Street Generating Station,Indianapolis,Unit 7,486,83294,79,377,20823.5
66,AEP,Conesville,Conesville,Unit 4,620,40745,149,311,10186.25
67,AES,Petersburg,Petersburg,Boiler U3,1067,230621,133,306,57655.25
69,AES,Petersburg,Petersburg,Unit 2,275,69008,80,275,17252.0
71,AES,Hawaii,Kapolei,Unit B,158,32131,44,261,8032.75
73,ALCOA,Warrick Power Station,Newburgh,Unit 3 Boiler,368,21944,69,187,5486.0
74,Dominion,Mt. Storm,Mt. Storm,Unit 1,1854,93324,74,181,23331.0
75,East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 2,581,58398,41,181,14599.5
76,AEP,AEP - Turk Power Station,Fulton,Boiler,931,37080,53,180,9270.0
77,ALCOA,Warrick Power Station,Newburgh,Unit 1 Boiler,536,25292,48,178,6323.0
78,AES,Petersburg,Petersburg,Boiler U1,180,50447,67,176,12611.75
81,AES,Hawaii,Kapolei,Unit A,158,32593,48,139,8148.25
85,Dominion,Clover Power Plant,Clover,Unit 1,229,18417,39,78,4604.25
86,East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,5551,468554,33,75,117138.5
88,Southern Co,Greene County Steam Plant,Forkland,Unit 2,167,21562,31,58,5390.5
95,East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,4454,383612,26,36,95903.0
96,ALCOA,Warrick Power Station,Newburgh,Unit 4 Division Wall,58,5424,11,36,1356.0
103,Southern Co,Plant Yates,Newnan,Unit 6,932,89035,12,20,22258.75
107,ALCOA,Warrick Power Station,Newburgh,Tube Sample Demo,8,67,4,18,16.75
110,AEP,Conesville,Conesville,Unit 6,176,21714,5,10,5428.5
111,AES,Plant Itabo,Santo Domingo,PC Boiler,342,20493,8,10,5123.25
117,AES,Redondo Beach,Redondo Beach,Unit 5,547,23411,6,8,5852.75
119,NRG,W.A Parish Station,Thompsons,Unit 1,156,15828,4,7,3957.0
121,NRG,Arthur Kill,Staten Island,Reheat Unit,312,23323,6,6,5830.75
126,AES,Huntington Beach,Huntington Beach,Unit 2,237,42571,4,4,10642.75
133,Dominion,Wateree Power Station,Eastover,Unit 1,412,27346,2,2,6836.5
136,AES,Redondo Beach,Redondo Beach,Unit 6,237,9222,1,1,2305.5
138,ALCOA,Alumar,Sao Luis,Unit 31,350,73016,0,0,18254.0
140,AES,AES Gener - Electrica Angamos,Chile,Unit 2,967,57196,0,0,14299.0
141,AES,Ventanas,Pittsburgh,Unit 3,776,49186,0,0,12296.5
145,Southern Co,Plant Scherer,Atlanta,Unit 1,448,40381,0,0,10095.25
146,East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 1,889,35575,0,0,8893.75
148,AES,Ventanas,Pittsburgh,Unit 2,458,32022,0,0,8005.5
150,NRG,Arthur Kill,Staten Island,Superheat Unit,313,31278,0,0,7819.5
159,AES,Tamuin - TEG,TamuÃ­n,Boiler 1B,106,15819,0,0,3954.75
163,AES,Tamuin - TEG,TamuÃ­n,CFB Boiler 1A,108,15154,0,0,3788.5
171,Duke Energy,Cliffside,Mooresboro,Unit 6,365,10484,0,0,2621.0
185,Duke Energy,Cayuga,Cayuga,Waterwalls,32,1549,0,0,387.25
186,NRG,W.A Parish Station,Thompsons,Sample Boiler Tubes,16,656,0,0,164.0
