PARENTNAME,OWNER_NAME,OPER_NAME,PLANT_NAME,PHYS_CITY,P_COUNTY,UNIT_STATE,P_ST_NAME,P_COUNTRY,MARKET_REG,WORLD_REG,IND_CODE_DESC,SIC_CODE,PLANT_ID,UNIT_NAME,UNIT_ID,UNIT_TYPE,OUT_DESIGN,KO_DATE,STARTUP,STARTYEAR,SHUTDOWN,PRIM_FUEL,SECND_FUEL,FUEL_GROUP,HEAT_RATE,PWR_USAGE,U_STATUS,BOIL_NAME,BOILERTYPE,BMFR_NAME,BOIL_INFO,STEAM,STEAM_UOM,STEAM_TON,PRESSURE,PRES_UOM,PRES_BAR,TEMP,TEMP_UOM,TEMP_CEL,DESIGNFIRM,CONSTFIRM,MMBTU_HR,KO_YEAR,LATITUDE,LONGITUDE,COGEN_CHP
The Blackstone Group Incorporated,Lightstone Generation LLC,Lightstone Generation LLC,James Gavin Power Station,Cheshire,Gallia,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1010019,James Gavin 02,1003920,Steam Turbine,1300,,1-Jul-75,1975,1-Dec-35,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9799,Base Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,Opposed-Fired SCR LNB ESP-CS FGD-WS Trona,9775000,lbs/hr,4887.5,3685,PSIG,254,1010,deg F,543,AEP Pro Serv,AEP Pro Serv,,,38.9347,-82.1158,0
American Electric Power Company Incorporated,Appalachian Power Company,Appalachian Power Company,John Amos Power Station,Winfield,Putnam,WV,West Virginia,U.S.A.,Mid Atlantic,North America,Power,4911,1516038,John E Amos 03,1007895,Steam Turbine,1300,,1-Oct-73,1973,1-Dec-33,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9597,Intermediate Load,Operational,Boiler 03,Dry Bottom Boiler,Babcock & Wilcox,UP-101 PC Opposed-Fired SCR LNB ESP-CS (FGD-WS 1Q2009),9775000,lbs/hr,4887.5,3700,PSIG,255,1000,deg F,538,American Electric Power,American Electric Power,11936,,38.473069,-81.822458,0
Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,Cumberland Fossil Power Station,Cumberland City,Stewart,TN,Tennessee,U.S.A.,Southeast,North America,Power,4911,1012869,Cumberland 01,1003702,Steam Turbine,1300,1-Jan-68,1-Mar-73,1973,31-Dec-28,Coal Bituminous,,Coal,9678,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-CS FGD-WS,9300000,lbs/hr,4650,3500,PSIG,241,1003,deg F,539,Black & Veatch,,,1968,36.391944,-87.655555,0
Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,Cumberland Fossil Power Station,Cumberland City,Stewart,TN,Tennessee,U.S.A.,Southeast,North America,Power,4911,1012869,Cumberland 02,1003703,Steam Turbine,1300,1-Jan-68,1-Nov-73,1973,31-Dec-26,Coal Bituminous,,Coal,9678,Intermediate Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired ESP LNB SCR FGD-WS,9300000,lbs/hr,4650,3500,PSIG,241,1003,deg F,539,Black & Veatch,,,1968,36.391944,-87.655555,0
The Blackstone Group Incorporated,Lightstone Generation LLC,Lightstone Generation LLC,James Gavin Power Station,Cheshire,Gallia,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1010019,James Gavin 01,1003919,Steam Turbine,1300,,1-Oct-74,1974,1-Dec-35,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9799,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,Opposed-Fired SCR LNB ESP-CS FGD-WS Trona,9775000,lbs/hr,4887.5,3685,PSIG,254,1010,deg F,543,Black & Veatch,,,,38.9347,-82.1158,0
American Electric Power Company Incorporated,Appalachian Power Company,Appalachian Power Company,Mountaineer Power Station,New Haven,Mason,WV,West Virginia,U.S.A.,Mid Atlantic,North America,Power,4911,1013868,Mountaineer 01,1007883,Steam Turbine,1300,,1-Sep-80,1980,,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9403,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,UP-108 PC Opposed-Fired OFA LNB SCR ESP-CS FGD-WS (Alstom CCS Fall 09),9775000,lbs/hr,4887.5,3845,PSIG,265,1010,deg F,543,American Electric Power,American Electric Power,11960,,38.978694,-81.93625,0
American Electric Power Company Incorporated,Indiana Michigan Power Company,Indiana Michigan Power Company,Rockport Power Station,Rockport,Spencer,IN,Indiana,U.S.A.,Great Lakes,North America,Power,4911,1010400,Rockport 01,1004662,Steam Turbine,1300,1-Jan-77,1-Dec-84,1984,29-Dec-28,Coal Subbituminous,Coal Bituminous,Coal,9816,Intermediate Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB OFA ESP-CS ACIS DSI (SCR-2016) (FGD-2020),9775000,lbs/hr,4887.5,3510,PSIG,242,1000,deg F,538,Black & Veatch,AEP Pro Serv,12374,1977,37.923478,-87.033942,0
American Electric Power Company Incorporated,Indiana Michigan Power Company,Indiana Michigan Power Company,Rockport Power Station,Rockport,Spencer,IN,Indiana,U.S.A.,Great Lakes,North America,Power,4911,1010400,Rockport 02,1004663,Steam Turbine,1300,,1-Dec-89,1989,29-Dec-28,Coal Subbituminous,Coal Bituminous,Coal,9816,Intermediate Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,Opposed-Fired LNB OFA ESP-CS ACIS DSI (SCR-2018) (FGD-2022),9775000,lbs/hr,4887.5,3510,PSIG,242,1000,deg F,538,Black & Veatch,AEP Pro Serv,12374,,37.923478,-87.033942,0
Duke Energy Corporation,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Belews Creek Power Station,Belews Creek,Stokes,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1014219,Belews Creek 01,1004766,Steam Turbine,1245.6,1-Jan-70,1-Aug-74,1974,,Coal Bituminous,Natural Gas,Coal,9035,Intermediate Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired SCR LNB OFA ESP-CS FGC FGD-WS,7300000,lbs/hr,3650,3500,PSIG,241,1000,deg F,538,Duke Power Company,Duke Power Company,12000,1970,36.2811,-80.0603,0
Duke Energy Corporation,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Belews Creek Power Station,Belews Creek,Stokes,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1014219,Belews Creek 02,1004769,Steam Turbine,1245.6,,1-Dec-75,1975,,Coal Bituminous,Natural Gas,Coal,9035,Intermediate Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired Supercritical SCR LNB FGC ESP-CS FGD-WS,7300000,lbs/hr,3650,3500,PSIG,241,1000,deg F,538,Duke Power Company,Duke Power Company,12000,,36.2811,-80.0603,0
