"Nominal Thickness (inches)","Height/Length","# of Tubes","Tube OD","C2C","Inspection Asset Component Name","Inspection Service","Robot","Inspection: Start Date","Inspection: End Date","Asset: Asset Name","Asset Component Name"
"","41.0000","79","3.0000","4.5000","Front Wall","RUG","TOKA 4","7/25/2022","7/27/2022","#1 Power Boiler","Front Wall"
"","78.0000","78","2.5000","3.0000","Left Sidewall","RUG","TOKA 4","7/25/2022","7/27/2022","#1 Power Boiler","Left Sidewall"
"","78.0000","79","3.0000","4.5000","Rear Wall","RUG","TOKA 4","7/25/2022","7/27/2022","#1 Power Boiler","Rear Wall"
"","78.0000","78","2.5000","3.0000","Right Sidewall","RUG","TOKA 4","7/25/2022","7/27/2022","#1 Power Boiler","Right Sidewall"
"0.2000","30.0000","100","2.5000","3.0000","Waterwall - RUG","RUG","TOKA 4","11/7/2022","11/9/2022","#2 Recovery Boiler","Waterwall"
"","7.0000","104","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","23-H-3-CO Boiler 4 Water wall and Bullnose","Bullnose"
"","20.0000","104","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","23-H-3-CO Boiler 4 Water wall and Bullnose","Front Water Wall"
"","20.0000","80","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","23-H-3-CO Boiler 4 Water wall and Bullnose","Left Side Water Wall"
"","20.0000","104","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","23-H-3-CO Boiler 4 Water wall and Bullnose","Rear Water Wall"
"","20.0000","80","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","23-H-3-CO Boiler 4 Water wall and Bullnose","Right Side Water Wall"
"0.2200","43.0000","309","2.0000","2.5000","Front Slope - RUG","RUG","TOKA 4","","","AES Petersburg - Unit 3 Boiler","Front Slope"
"0.2200","43.0000","309","2.0000","2.5000","Rear Slope - RUG","RUG","TOKA 4","","","AES Petersburg - Unit 3 Boiler","Rear Slope"
"0.2200","43.0000","309","2.0000","2.5000","Front Slope - RUG","RUG","TOKA 4","10/2/2022","10/6/2022","AES Petersburg - Unit 4 Boiler","Front Slope"
"0.2200","106.0000","309","2.0000","2.5000","Front Wall - RUG","RUG","TOKA 4","10/2/2022","10/6/2022","AES Petersburg - Unit 4 Boiler","Front Wall"
"0.2200","184.0000","212","2.0000","2.5000","Left Sidewall - RUG","RUG","TOKA 4","10/2/2022","10/6/2022","AES Petersburg - Unit 4 Boiler","Left Sidewall"
"0.2200","43.0000","309","2.0000","2.5000","Rear Slope - RUG","RUG","TOKA 4","10/2/2022","10/6/2022","AES Petersburg - Unit 4 Boiler","Rear Slope"
"0.2200","95.0000","309","2.0000","2.5000","Rear Wall - RUG","RUG","TOKA 4","10/2/2022","10/6/2022","AES Petersburg - Unit 4 Boiler","Rear Wall"
"0.2200","184.0000","212","2.0000","2.5000","Right Sidewall - RUG","RUG","TOKA 4","10/2/2022","10/6/2022","AES Petersburg - Unit 4 Boiler","Right Sidewall"
"","66.0000","174","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","4/18/2022","4/20/2022","Angamos Boiler","Front Wall"
"","66.0000","174","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","4/18/2022","4/20/2022","Angamos Boiler","Rear Wall"
"","66.0000","336","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","4/18/2022","4/20/2022","Angamos Boiler","Side Walls"
"0.2480","28.0000","26","2.3740","3.1490","Baffle panel 1L (26 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Baffle panel 1L (26 tubes x 8.5m)"
"0.2480","28.0000","26","2.3740","3.1490","Baffle panel 1R (26 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Baffle panel 1R (26 tubes x 8.5m)"
"0.2480","28.0000","26","2.3740","3.1490","Baffle panel 2L (26 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Baffle panel 2L (26 tubes x 8.5m)"
"0.2480","28.0000","26","2.3740","3.1490","Baffle panel 2R (26 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Baffle panel 2R (26 tubes x 8.5m)"
"0.2480","28.0000","26","2.3740","3.1490","Baffle panel 3L (26 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Baffle panel 3L (26 tubes x 8.5m)"
"0.2480","28.0000","26","2.3740","3.1490","Baffle panel 3R (26 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Baffle panel 3R (26 tubes x 8.5m)"
"0.2480","28.0000","51","2.3740","3.1490","Front Waterwall (51 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Front Waterwall (51 tubes x 8.5m)"
"0.2480","28.0000","26","2.3740","3.1490","Left Waterwall (26 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Left Waterwall (26 tubes x 8.5m)"
"0.2480","28.0000","51","2.3740","3.1490","Rear Waterwall (51 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Rear Waterwall (51 tubes x 8.5m)"
"0.2480","28.0000","26","2.3740","3.1490","Right Waterwall (26 tubes x 8.5m) - RUG","RUG","TOKA 4","7/14/2022","7/15/2022","B&W waste boiler","Right Waterwall (26 tubes x 8.5m)"
"","77.0000","105","3.0000","4.0000","FILLER - RUG","RUG","TOKA 4","","","Bark Boiler","Front Wall"
"","77.0000","78","3.0000","4.0000","FILLER - RUG","RUG","TOKA 4","","","Bark Boiler","Left Sidewall"
"","42.0000","105","3.0000","4.0000","FILLER - RUG","RUG","TOKA 4","","","Bark Boiler","Rear Wall"
"","77.0000","78","3.0000","4.0000","FILLER - RUG","RUG","TOKA 4","","","Bark Boiler","Right Sidewall"
"0.2480","","","2.3740","3.3000","Nose arch - upper - RUG","RUG","","","","BFB Boiler","Nose arch"
"0.2480","","","2.3740","3.3000","Nose arch - lower - RUG","RUG","","","","BFB Boiler","Nose arch"
"0.2480","","","2.3740","3.3000","Upper nose arch - RUG","RUG","","","","BFB Boiler","Nose arch"
"0.2480","","","2.3740","3.3000","Lower nose arch - RUG","RUG","","","","BFB Boiler","Nose arch"
"0.2480","19.0000","48","2.3740","4.5000","Backpass - LHS (48 tubes x 5800mm) - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","Backpass - LHS (48 tubes x 5800mm)"
"0.2480","19.0000","98","2.3740","4.5000","Backpass - Rear (98 tubes x 5800mm) - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","Backpass - Rear (98 tubes x 5800mm)"
"0.2480","19.0000","48","2.3740","4.5000","Backpass - RHS (48 tubes x 5800mm) - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","Backpass - RHS (48 tubes x 5800mm)"
"0.2480","111.0000","158","2.3740","3.0000","Front Waterwall - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","Front Waterwall"
"0.2480","111.0000","142","2.3740","3.0000","LHS Waterwall - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","LHS Waterwall"
"0.2480","20.0000","145","2.3740","3.0000","Nose arch - lower - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","Nose arch - lower"
"0.2480","20.0000","145","2.3740","3.0000","Nose arch - upper - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","Nose arch - upper"
"0.2480","59.0000","158","2.3740","3.0000","Rear Waterwall - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","Rear Waterwall"
"0.2480","108.0000","142","2.3740","3.0000","RHS Waterwall - RUG","RUG","TOKA 4","7/28/2022","8/1/2022","BFB Boiler (128MW)","RHS Waterwall"
"0.0000","","","0.0000","0.0000","Boiler - Visual MT","Visual Testing (VT)","","","","Boiler","Boiler"
"0.1200","","","3.2500","6.0000","Roof Tubes - Ultrasonic Testing (UT)","Ultrasonic Testing (UT)","","7/13/2022","7/15/2022","Boiler","Roof Tubes"
"0.1200","","","3.2500","6.0000","Roof Tubes - Ultrasonic Testing (UT)","Ultrasonic Testing (UT)","","7/13/2022","7/15/2022","Boiler","Roof Tubes"
"0.1200","","","3.2500","6.0000","Rear (East) Wall - RUG","RUG","","7/13/2022","7/15/2022","Boiler","Waterwalls"
"0.1200","","","3.2500","6.0000","Front (West) Wall - RUG","RUG","","7/13/2022","7/15/2022","Boiler","Waterwalls"
"0.1200","","","3.2500","6.0000","Left (North) Wall - RUG","RUG","","7/13/2022","7/15/2022","Boiler","Waterwalls"
