,IIR_UNIT_ID,Customer.name,Location.name,Unit.slug,Component.slug,slug,nominal,Component_type,Power_Cust,tubes_inspected,bins_collected,tube_ft_inspected,crits_per10k,Tubes w 10% Loss,Tubes w 20% Loss,Tubes w 30% Loss,Tubes w 40% Loss,Tubes w 50% Loss,Tubes w 60% Loss,Tubes w 70% Loss,Tubes w 80% Loss,Tubes w 90% Loss,Bins w 10% Loss,Bins w 20% Loss,Bins w 30% Loss,Bins w 40% Loss,Bins w 50% Loss,Bins w 60% Loss,Bins w 70% Loss,Bins w 80% Loss,Bins w 90% Loss,PARENTNAME,OWNER_NAME,OPER_NAME,PLANT_NAME,PHYS_CITY,P_COUNTY,UNIT_STATE,P_ST_NAME,P_COUNTRY,MARKET_REG,WORLD_REG,IND_CODE_DESC,SIC_CODE,PLANT_ID,UNIT_NAME,UNIT_ID,UNIT_TYPE,OUT_DESIGN,KO_DATE,STARTUP,STARTYEAR,SHUTDOWN,PRIM_FUEL,SECND_FUEL,FUEL_GROUP,HEAT_RATE,PWR_USAGE,U_STATUS,BOIL_NAME,BOILERTYPE,BMFR_NAME,BOIL_INFO,STEAM,STEAM_UOM,STEAM_TON,PRESSURE,PRES_UOM,PRES_BAR,TEMP,TEMP_UOM,TEMP_CEL,DESIGNFIRM,CONSTFIRM,MMBTU_HR,KO_YEAR,LATITUDE,LONGITUDE,COGEN_CHP,SHUTDOWN_dt,SHUTDOWN_yr
0,1003894.0,Vistra Luminant Energy,Miami Fort,boiler-7-98142b,lower-slopes-76b217,20191021-9c7f4b,0.24,Slopes,False,255,14341,3585.25,1777,255,255,242,187,156,94,6,0,0,9966,7437,4576,2548,1361,347,8,0,0,Vistra Energy Corporation,Luminant Generation Company LLC,Luminant Generation Company LLC,Miami Fort Power Station,North Bend,Hamilton,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1013402.0,Miami Fort 07,1003894.0,Steam Turbine,557.1,,1-May-75,1975.0,31-Dec-27,Coal Bituminous,,Coal,10086.0,Base Load,Operational,Boiler 07,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB OFA ESP SCR FGD-WS,3800000.0,lbs/hr,1900.0,2925.0,PSIG,202.0,1000.0,deg F,538.0,Sargent & Lundy,,5025.0,,39.115144,-84.804431,0.0,2027-12-31,2027.0
1,1003926.0,Cardinal,Cardinal Power Plant,unit-1-098237,waterwalls-1e218a,20200323-0c56b4,0.237,Walls,False,463,95750,23937.5,23,460,444,186,84,25,0,0,0,0,8290,4209,704,217,49,0,0,0,0,Buckeye Power Incorporated,Cardinal Operating Company,Cardinal Operating Company,Cardinal Power Station,Brilliant,Jefferson,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1009801.0,Cardinal 01 ST,1003926.0,Steam Turbine,615.2,,1-Feb-67,1967.0,7-Dec-30,Coal Bituminous,,Coal,9847.0,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-CS (FGD-WS 2008),4035000.0,lbs/hr,2017.5,3500.0,PSIG,241.0,1050.0,deg F,566.0,Black & Veatch,,5275.0,,40.2522,-80.6486,0.0,2030-12-07,2030.0
2,1003926.0,Cardinal,Cardinal Power Plant,unit-1-098237,slopes-31e735,20200323-4d30bb,0.237,Slopes,False,387,18608,4652.0,1,144,37,8,1,0,0,0,0,0,569,79,14,2,0,0,0,0,0,Buckeye Power Incorporated,Cardinal Operating Company,Cardinal Operating Company,Cardinal Power Station,Brilliant,Jefferson,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1009801.0,Cardinal 01 ST,1003926.0,Steam Turbine,615.2,,1-Feb-67,1967.0,7-Dec-30,Coal Bituminous,,Coal,9847.0,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-CS (FGD-WS 2008),4035000.0,lbs/hr,2017.5,3500.0,PSIG,241.0,1050.0,deg F,566.0,Black & Veatch,,5275.0,,40.2522,-80.6486,0.0,2030-12-07,2030.0
3,1003927.0,Cardinal,Cardinal Power Plant,unit-2-85d197,waterwalls-57d701,20191014-e080b6,0.237,Walls,False,464,94381,23595.25,74,453,452,413,253,122,68,20,1,0,27150,20643,2470,701,262,108,22,2,0,Buckeye Power Incorporated,Cardinal Operating Company,Cardinal Operating Company,Cardinal Power Station,Brilliant,Jefferson,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1009801.0,Cardinal 02,1003927.0,Steam Turbine,615.2,,1-Jul-67,1967.0,1-Dec-27,Coal Bituminous,,Coal,9847.0,Intermediate Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-CS (FGD-WS 2008),4035000.0,lbs/hr,2017.5,3500.0,PSIG,241.0,1000.0,deg F,538.0,Black & Veatch,,5275.0,,40.2522,-80.6486,0.0,2027-12-01,2027.0
4,1003927.0,Cardinal,Cardinal Power Plant,unit-2-85d197,lower-slopes-e38aaa,20191014-cb7afc,0.237,Slopes,False,378,18237,4559.25,580,336,292,249,207,121,67,5,0,0,4801,3077,1842,1058,481,139,6,0,0,Buckeye Power Incorporated,Cardinal Operating Company,Cardinal Operating Company,Cardinal Power Station,Brilliant,Jefferson,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1009801.0,Cardinal 02,1003927.0,Steam Turbine,615.2,,1-Jul-67,1967.0,1-Dec-27,Coal Bituminous,,Coal,9847.0,Intermediate Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR ESP-CS (FGD-WS 2008),4035000.0,lbs/hr,2017.5,3500.0,PSIG,241.0,1000.0,deg F,538.0,Black & Veatch,,5275.0,,40.2522,-80.6486,0.0,2027-12-01,2027.0
5,1003928.0,Cardinal,Cardinal Power Plant,unit-3-54779f,waterwalls-b94b37,20201016-b04e5f,0.23,Walls,False,430,90013,22503.25,0,349,45,0,0,0,0,0,0,0,1881,69,0,0,0,0,0,0,0,Buckeye Power Incorporated,Cardinal Operating Company,Cardinal Operating Company,Cardinal Power Station,Brilliant,Jefferson,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1009801.0,Cardinal 03,1003928.0,Steam Turbine,650.0,,1-Sep-77,1977.0,1-Dec-37,Coal Bituminous,,Coal,9705.0,Base Load,Operational,Boiler 03,Dry Bottom Boiler,Babcock & Wilcox,PC Supercritical Opposed-Fired LNB SCR ESP-HS (FGD-WS-JBR-2008),4555000.0,lbs/hr,2277.5,3510.0,PSIG,242.0,1000.0,deg F,538.0,Sargent & Lundy,,5975.0,,40.2522,-80.6486,0.0,2037-12-01,2037.0
6,1003928.0,Cardinal,Cardinal Power Plant,unit-3-54779f,lower-slopes-1f0468,20201016-c07763,0.23,Slopes,False,429,27542,6885.5,15,353,199,113,25,4,0,0,0,0,1942,834,338,42,4,0,0,0,0,Buckeye Power Incorporated,Cardinal Operating Company,Cardinal Operating Company,Cardinal Power Station,Brilliant,Jefferson,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1009801.0,Cardinal 03,1003928.0,Steam Turbine,650.0,,1-Sep-77,1977.0,1-Dec-37,Coal Bituminous,,Coal,9705.0,Base Load,Operational,Boiler 03,Dry Bottom Boiler,Babcock & Wilcox,PC Supercritical Opposed-Fired LNB SCR ESP-HS (FGD-WS-JBR-2008),4555000.0,lbs/hr,2277.5,3510.0,PSIG,242.0,1000.0,deg F,538.0,Sargent & Lundy,,5975.0,,40.2522,-80.6486,0.0,2037-12-01,2037.0
7,1003943.0,AEP,Conesville,unit-4-f91b3d,lower-slopes-69d2a5,20190319-dd287e,0.203,Slopes,True,620,40745,10186.25,18,615,473,149,29,2,0,0,0,0,11463,2103,311,72,4,0,0,0,0,Frontier Group of Companies,Frontier Industrial Corporation,Frontier Industrial Corporation,Conesville Power Station,Conesville,Coshocton,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1518785.0,Conesville 04,1003943.0,Steam Turbine,841.5,,1-Jun-73,1973.0,1-Jun-20,Coal Bituminous,,Coal,9789.0,Base Load,Removed,Boiler 04,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,Tangential-Fired ESP-CS FGC SCR FGD-WS,5900000.0,lbs/hr,2950.0,3690.0,PSIG,254.0,1010.0,deg F,543.0,Black & Veatch,Ebasco,,,40.18639,-81.87861,0.0,2020-06-01,2020.0
8,1003944.0,AEP,Conesville,unit-5-b70b76,lower-slopes-f16d02,20180404-be2b58,0.265,Slopes,True,247,15469,3867.25,248,247,246,225,90,11,2,0,0,0,6583,4799,2145,383,20,6,0,0,0,Frontier Group of Companies,Frontier Industrial Corporation,Frontier Industrial Corporation,Conesville Power Station,Conesville,Coshocton,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1518785.0,Conesville 05,1003944.0,Steam Turbine,444.0,,1-Nov-76,1976.0,31-May-19,Coal Bituminous,,Coal,10414.0,Base Load,Removed,Boiler 05,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired OFA FGD-WS ESP-CS,3131000.0,lbs/hr,1565.5,2415.0,PSIG,167.0,1005.0,deg F,541.0,Black & Veatch,,,,40.18639,-81.87861,0.0,2019-05-31,2019.0
9,1003944.0,AEP,Conesville,unit-5-b70b76,waterwalls-c842b1,20180406-d909b9,0.265,Walls,True,8,671,167.75,0,8,6,1,0,0,0,0,0,0,258,21,1,0,0,0,0,0,0,Frontier Group of Companies,Frontier Industrial Corporation,Frontier Industrial Corporation,Conesville Power Station,Conesville,Coshocton,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911.0,1518785.0,Conesville 05,1003944.0,Steam Turbine,444.0,,1-Nov-76,1976.0,31-May-19,Coal Bituminous,,Coal,10414.0,Base Load,Removed,Boiler 05,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired OFA FGD-WS ESP-CS,3131000.0,lbs/hr,1565.5,2415.0,PSIG,167.0,1005.0,deg F,541.0,Black & Veatch,,,,40.18639,-81.87861,0.0,2019-05-31,2019.0
